the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40096407223005 41.830161918032374),300,,THAYER ST,THAYER ST,Thayer St,BOWEN ST,CUSHING ST,Front,2,Prunus spp.,3.1,No,Sidewalk Pit,2,-71.40096407,41.83016192
POINT (-71.40212838199905 41.82902309159417),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,6,Platanus x acerifolia,3.1,No,Sidewalk Pit,2,-71.40212838,41.82902309
POINT (-71.39316007578452 41.83248568363143),8,,IRVING AVE,IRVING AVE,Irving Ave,TABER AVE,ARLINGTON AVE,Front,1,Acer platanoides,11,No,Lawn Strip,2,-71.39316008,41.83248568
POINT (-71.40365374476598 41.824571398369486),11,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,2,Gleditsia triacanthos,12.2,No,Sidewalk Pit,2,-71.40365374,41.8245714
POINT (-71.4022296617078 41.82535275094166),125,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,1,Platanus x acerifolia,16.4,No,Sidewalk Pit,2,-71.40222966,41.82535275
POINT (-71.40324126768404 41.82868195166416),87,Y,BROWN ST,BROWN ST,Brown St,OLIVE ST,MEETING ST,Front,4,Acer saccharinum,3.5,No,Sidewalk Pit,2,-71.40324127,41.82868195
POINT (-71.40663868816574 41.826868412597285),31,Y,WATERMAN ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Front,1,Gleditsia triacanthos,18,No,Sidewalk Pit,2,-71.40663869,41.82686841
POINT (-71.40162606657809 41.825492840013624),114,,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Platanus x acerifolia,27,No,Sidewalk Pit,2,-71.40162607,41.82549284
POINT (-71.39738332319527 41.829618801330554),8,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,1,Gleditsia triacanthos,12.3,No,Lawn Strip,2,-71.39738332,41.8296188
POINT (-71.3937219277391 41.832422792265554),82,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,UNIVERSITY AVE,IRVING AVE,Front,1,Platanus x acerifolia,8.5,No,Lawn - No Sidewalk,2,-71.39372193,41.83242279
POINT (-71.39985560683465 41.83016597067268),456,,BROOK ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Side,1,Tilia cordata,4.3,No,Lawn Strip,2,-71.39985561,41.83016597
POINT (-71.40506058996097 41.82768278497375),71,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,1,Zelkova serrata,2,No,Sidewalk Pit,2,-71.40506059,41.82768278
POINT (-71.39644915154707 41.827562899674966),149,Y,WATERMAN ST,WATERMAN ST,Waterman St,HOPE ST,COOKE ST,Front,1,Zelkova serrata,9,No,Sidewalk Pit,1,-71.39644915,41.8275629
POINT (-71.4052984294223 41.825188528940636),25,,GEORGE ST,GEORGE ST,George St,BENEFIT ST,MAGEE ST,Front,1,Gleditsia triacanthos,12.2,No,Lawn Strip,2,-71.40529843,41.82518853
POINT (-71.39710826047268 41.832405554438864),295,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,1,Prunus spp.,6.3,Yes,Lawn Strip,2,-71.39710826,41.83240555
POINT (-71.39974119799588 41.82975073337927),450,,BROOK ST,BROOK ST,Brook St,BOWEN ST,CUSHING ST,Front,5,Quercus palustris,1.8,Yes,Lawn Strip,2,-71.3997412,41.82975073
POINT (-71.39911331598954 41.826604798786235),348,TRUE,BROOK ST,BROOK ST,Brook St,WATERMAN ST,BROOK ST,Rear,2,Ginkgo biloba,8,No,Sidewalk Pit,1,-71.39911332,41.8266048
POINT (-71.40689748508726 41.827179198574704),30,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,6,Pyrus calleryana,8,No,Sidewalk Pit,2,-71.40689749,41.8271792
POINT (-71.40584242732068 41.82485022416546),281,,BENEFIT ST,BENEFIT ST,Benefit St,BENEVOLENT ST,GEORGE ST,Front,2,Ulmus spp.,16.1,No,Sidewalk Pit,2,-71.40584243,41.82485022
POINT (-71.39997432629211 41.824762940058065),111,,THAYER ST,BENEVOLENT ST,Benevolent St,BROOK ST,THAYER ST,Side,5,Tilia tomentosa,7,No,Sidewalk Pit,1,-71.39997433,41.82476294
POINT (-71.39560770082791 41.829841644619115),33,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,2,Platanus x acerifolia,13.6,No,Sidewalk Pit,2,-71.3956077,41.82984164
POINT (-71.4022877423792 41.82800041614925),130,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,3,Platanus x acerifolia,5.3,No,Sidewalk Pit,2,-71.40228774,41.82800042
POINT (-71.40400024026071 41.82480177229846),1,,MAGEE ST,MAGEE ST,Magee St,BENEVOLENT ST,GEORGE ST,Front,2,Gleditsia triacanthos,14.9,No,Sidewalk Pit,2,-71.40400024,41.82480177
POINT (-71.40297461894187 41.82830408523792),79,,BROWN ST,OLIVE ST,Olive St,BROWN ST,THAYER ST,Side,2,Platanus x acerifolia,4.2,No,Sidewalk Pit,2,-71.40297462,41.82830409
POINT (-71.3936167715836 41.82904367905215),347,,ANGELL ST,ANGELL ST,Angell St,IVES ST,GOVERNOR ST,Front,1,Gleditsia triacanthos,20.4,No,Lawn Strip,1,-71.39361677,41.82904368
POINT (-71.40571664659299 41.827896287607174),52,,ANGELL ST,DEFOE PL,Defoe Pl,PROSPECT ST,CONGDON ST,Side,0,Fraxinus pennsylvanica,10,No,Sidewalk Pit,2,-71.40571665,41.82789629
POINT (-71.40648707015724 41.826935318559116),30,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,1,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40648707,41.82693532
POINT (-71.40018487655178 41.82372168581282),42,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,2,Platanus x acerifolia,2.8,Yes,Sidewalk Pit,2,-71.40018488,41.82372169
POINT (-71.39649669106211 41.82424348069009),4,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,YOUNG ORCHARD AVE,Front,2,Acer rubrum,4,No,Sidewalk Pit,1,-71.39649669,41.82424348
POINT (-71.40240867283971 41.82900710265983),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,3,Quercus alba,2.2,No,Sidewalk Pit,2,-71.40240867,41.8290071
POINT (-71.40496652845546 41.82694690705678),62,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,1,Zelkova serrata,2,No,Sidewalk Pit,2,-71.40496653,41.82694691
POINT (-71.39954761522068 41.83084784000295),265,,BOWEN ST,BOWEN ST,Bowen St,BROOK ST,HOPE ST,Front,2,Platanus x acerifolia,5.5,Yes,Sidewalk Pit,2,-71.39954762,41.83084784
POINT (-71.39805125801162 41.82575809289828),170,,HOPE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Side,5,Ulmus americana 'Princeton',2,No,Sidewalk Pit,1,-71.39805126,41.82575809
POINT (-71.40005078006078 41.82277373692623),99,,POWER ST,THAYER ST,Thayer St,POWER ST,TRANSIT ST,Side,1,Ulmus americana,40,Yes,Sidewalk Pit,1,-71.40005078,41.82277374
POINT (-71.40068511382202 41.82554962424337),124,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,2,Platanus x acerifolia,6.5,No,Sidewalk Pit,2,-71.40068511,41.82554962
POINT (-71.40436318905094 41.82323471663079),326,,BENEFIT ST,BENEFIT ST,Benefit St,PLANET ST,POWER ST,Front,1,Pyrus calleryana,12.6,No,Lawn Strip,2,-71.40436319,41.82323472
POINT (-71.39723566863766 41.82787995709626),193,,HOPE ST,HOPE ST,Hope St,WATERMAN ST,COOKE ST,Side,3,Gleditsia triacanthos,5,No,Sidewalk Pit,1,-71.39723567,41.82787996
POINT (-71.40370015648055 41.82901959401522),156,,MEETING ST,MEETING ST,Meeting St,BROWN ST,PROSPECT ST,Front,1,Ostrya virginiana,3.5,No,Sidewalk Pit,2,-71.40370016,41.82901959
POINT (-71.40323076990398 41.82904057948663),91,,BROWN ST,MEETING ST,Meeting St,THAYER ST,BROWN ST,Side,3,Gleditsia triacanthos,9.8,Yes,Lawn Strip,2,-71.40323077,41.82904058
POINT (-71.40350680637684 41.830097963407916),117,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,1,Ulmus americana,7,No,Lawn Strip,2,-71.40350681,41.83009796
POINT (-71.39901172800627 41.82574988008296),180,,E GEORGE ST,BROOK ST,Brook St,MANNING ST,E GEORGE ST,Side,1,Acer rubrum,4,Yes,Sidewalk Pit,1,-71.39901173,41.82574988
POINT (-71.39643438084923 41.82674577133799),60,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,4,Zelkova serrata,11,No,Lawn Strip,1,-71.39643438,41.82674577
POINT (-71.40344645667128 41.829769195653704),109,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,1,Gleditsia triacanthos,4.8,No,Sidewalk Pit,2,-71.40344646,41.8297692
POINT (-71.40058127638085 41.82694948738187),190,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,2,Platanus x acerifolia,5,No,Sidewalk Pit,2,-71.40058128,41.82694949
POINT (-71.39332762441452 41.83193225943747),69,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,IRVING AVE,Front,1,Malus spp,11,Yes,Lawn Strip,2,-71.39332762,41.83193226
POINT (-71.39905363477232 41.8251154853824),80,,BROOK ST,BROOK ST,Brook St,GEORGE ST,BENEVOLENT ST,Front,1,Ulmus americana,3,No,Sidewalk Pit,1,-71.39905363,41.82511549
POINT (-71.40535338192235 41.830127866785915),87,,PROSPECT ST,PROSPECT ST,Prospect St,CUSHING ST,BOWEN ST,Front,1,Gleditsia triacanthos,16,No,Lawn Strip,2,-71.40535338,41.83012787
POINT (-71.39982158093802 41.82293842211351),101,,POWER ST,POWER ST,Power St,THAYER ST,BROOK ST,Rear,1,Tilia cordata,10,No,Sidewalk Pit,1,-71.39982158,41.82293842
POINT (-71.40473209314959 41.82755167207584),45,Y,PROSPECT ST,PROSPECT ST,Prospect St,FONES ALY,ANGELL ST,Front,2,Gleditsia triacanthos,10,No,Lawn Strip,2,-71.40473209,41.82755167
POINT (-71.40580424206925 41.826035926045314),51,,COLLEGE ST,COLLEGE ST,College St,BENEFIT ST,PROSPECT ST,Front,3,Ulmus spp.,4,No,Sidewalk Pit,2,-71.40580424,41.82603593
POINT (-71.40331627696058 41.8253699140059),72,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,PROSPECT ST,Front,5,Ulmus spp.,2.9,No,Sidewalk Pit,2,-71.40331628,41.82536991
POINT (-71.39675956891222 41.82674226213339),179,,HOPE ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Side,3,Crataegus crus-gali var. inermis,4,No,Lawn Strip,1,-71.39675957,41.82674226
POINT (-71.3990993927128 41.8254252349623),163,,GEORGE ST,BROOK ST,Brook St,BENEVOLENT ST,GEORGE ST,Front,2,Acer rubrum,4,No,Sidewalk Pit,1,-71.39909939,41.82542523
POINT (-71.40658942253097 41.82556677090846),250,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,HOPKINS ST,Front,1,Platanus x acerifolia,16.4,No,Lawn Strip,2,-71.40658942,41.82556677
POINT (-71.40079509306156 41.828721924197254),254,,THAYER ST,THAYER ST,Thayer St,MEETING ST,OLIVE ST,Front,1,Zelkova serrata,4.6,No,Sidewalk Pit,2,-71.40079509,41.82872192
POINT (-71.40087421822975 41.8304177358363),307,,THAYER ST,THAYER ST,Thayer St,CUSHING ST,BOWEN ST,Front,1,Pyrus calleryana,5.2,No,Sidewalk Pit,2,-71.40087422,41.83041774
POINT (-71.39903350977187 41.83022392949332),172,,CUSHING ST,CUSHING ST,Cushing St,HOPE ST,BROOK ST,Front,2,Acer rubrum,5.8,No,Lawn Strip,2,-71.39903351,41.83022393
POINT (-71.4052966243516 41.827650806430995),63,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,1,Gleditsia triacanthos,19,No,Sidewalk Pit,2,-71.40529662,41.82765081
POINT (-71.39503370809928 41.829464909101134),57,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,1,Acer platanoides,16.2,No,Sidewalk Pit,2,-71.39503371,41.82946491
POINT (-71.40340613096247 41.8238033897007),15,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BROWN ST,BENEFIT ST,Front,5,Platanus x acerifolia,9.1,No,Sidewalk Pit,2,-71.40340613,41.82380339
POINT (-71.40406896022206 41.828914166898834),145,,MEETING ST,MEETING ST,Meeting St,PROSPECT ST,BROWN ST,Front,1,Acer rubrum,16.3,Yes,Sidewalk Pit,2,-71.40406896,41.82891417
POINT (-71.39569215826042 41.824328862222245),7,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,4,Quercus palustris,1,No,Sidewalk Pit,1,-71.39569216,41.82432886
POINT (-71.40345182109132 41.829090669631995),162,,MEETING ST,BROWN ST,Brown St,CUSHING ST,MEETING ST,Side,2,Acer saccharum,20.8,Yes,Sidewalk Pit,2,-71.40345182,41.82909067
POINT (-71.39741135009156 41.83229763475309),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,10,Pyrus calleryana,6.1,Yes,Lawn Strip,2,-71.39741135,41.83229763
POINT (-71.40056197193385 41.828705810422335),257,,THAYER ST,EUCLID AVE,Euclid Ave,BROOK ST,THAYER ST,Side,7,Zelkova serrata,2.7,No,Sidewalk Pit,2,-71.40056197,41.82870581
POINT (-71.4045782563009 41.82359651568368),52,,POWER ST,BENEFIT ST,Benefit St,POWER ST,CHARLESFIELD ST,Side,6,Platanus x acerifolia,18.3,No,Lawn Strip,2,-71.40457826,41.82359652
POINT (-71.40303630975171 41.82896713030527),171,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,3,Platanus x acerifolia,4.6,No,Sidewalk Pit,2,-71.40303631,41.82896713
POINT (-71.40644956020668 41.827657448276206),1,,CONGDON ST,ANGELL ST,Angell St,PROSPECT ST,CONGDON ST,Side,1,Tilia americana,19,No,Sidewalk Pit,2,-71.40644956,41.82765745
POINT (-71.405959103414 41.82481524608516),280,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,2,Fraxinus pennsylvanica,9.6,No,Sidewalk Pit,2,-71.4059591,41.82481525
POINT (-71.40017096188782 41.82467255377404),111,,THAYER ST,THAYER ST,Thayer St,BENEVOLENT ST,CHARLESFIELD ST,Front,1,Ulmus parvifolia,9,No,Sidewalk Pit,1,-71.40017096,41.82467255
POINT (-71.40003020172374 41.82357422216162),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,4,Tilia cordata,3,No,Sidewalk Pit,1,-71.4000302,41.82357422
POINT (-71.40014574782937 41.831492372235736),181,,LLOYD AVE,LLOYD AVE,Lloyd Ave,THAYER ST,HOPE ST,Front,1,Tilia americana,4.8,Yes,Sidewalk Pit,2,-71.40014575,41.83149237
POINT (-71.40705612689906 41.826041466216225),236,,BENEFIT ST,COLLEGE ST,College St,BENEFIT ST,N MAIN ST,Side,1,Platanus x acerifolia,19,No,Sidewalk Pit,2,-71.40705613,41.82604147
POINT (-71.39241264981513 41.83262505913353),34,,IRVING AVE,IRVING AVE,Irving Ave,TABER AVE,ARLINGTON AVE,Front,2,Zelkova serrata,3,No,Sidewalk Pit,2,-71.39241265,41.83262506
POINT (-71.40104185628994 41.82811533833344),164,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,2,Gleditsia triacanthos,13,No,Sidewalk Pit,2,-71.40104186,41.82811534
POINT (-71.39935675847853 41.82567694508184),156,,GEORGE ST,GEORGE ST,George St,BROOK ST,THAYER ST,Front,3,Quercus palustris,19.7,No,Sidewalk Pit,1,-71.39935676,41.82567695
POINT (-71.4038581583501 41.82693766023381),65,Y,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BROWN ST,Front,7,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40385816,41.82693766
POINT (-71.40397207706545 41.823006871095586),52,,POWER ST,BENEFIT ST,Benefit St,POWER ST,CHARLESFIELD ST,Side,1,Platanus x acerifolia,16.8,No,Lawn Strip,2,-71.40397208,41.82300687
POINT (-71.40245759339102 41.8270639865083),79,Y,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,4,Zelkova serrata,6,No,Sidewalk Pit,2,-71.40245759,41.82706399
POINT (-71.40464831736968 41.8289656313426),130,,MEETING ST,MEETING ST,Meeting St,BROWN ST,PROSPECT ST,Front,1,Acer rubrum,17.5,No,Sidewalk Pit,2,-71.40464832,41.82896563
POINT (-71.40080898702261 41.82985834058378),291,,THAYER ST,THAYER ST,Thayer St,MEETING ST,CUSHING ST,Front,2,Tilia cordata,15.5,No,Sidewalk Pit,2,-71.40080899,41.82985834
POINT (-71.40020660555649 41.82300419873576),82,Y,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,1,Platanus x acerifolia,16.5,No,Lawn Strip,2,-71.40020661,41.8230042
POINT (-71.40520942599457 41.82458538965715),2,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BROWN ST,MAGEE ST,Front,3,Ulmus americana,18.9,No,Sidewalk Pit,2,-71.40520943,41.82458539
POINT (-71.39806944137425 41.823071151724264),127,,POWER ST,POWER ST,Power St,BROOK ST,HOPE ST,Front,3,Unknown spp.,2,Yes,Sidewalk Pit,1,-71.39806944,41.82307115
POINT (-71.40298133907864 41.827205888797714),69,,BROWN ST,BROWN ST,Brown St,WATERMAN ST,ANGELL ST,Front,1,Quercus palustris,4,No,Sidewalk Pit,2,-71.40298134,41.82720589
POINT (-71.40528050453148 41.82427258371631),1,,BENEVOLENT ST,BENEFIT ST,Benefit St,CHARLESFIELD ST,BENEVOLENT ST,Side,3,Ulmus spp.,24.3,No,Lawn Strip,2,-71.4052805,41.82427258
POINT (-71.40331581299608 41.82707568959598),68,,BROWN ST,WATERMAN ST,Waterman St,BROWN ST,PROSPECT ST,Side,2,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40331581,41.82707569
POINT (-71.3956197584945 41.82433286744118),7,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,6,Tilia cordata,1,No,Sidewalk Pit,1,-71.39561976,41.82433287
POINT (-71.40648213416921 41.825431856862444),250,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,HOPKINS ST,Front,2,Platanus x acerifolia,14.6,No,Lawn Strip,2,-71.40648213,41.82543186
POINT (-71.39987961820783 41.823990498875744),111,,THAYER ST,CHARLESFIELD ST,Charlesfield St,BROOK ST,THAYER ST,Side,4,Tilia cordata,6.45,No,Sidewalk Pit,1,-71.39987962,41.8239905
POINT (-71.40046399747006 41.827123631678944),201,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,1,Gleditsia triacanthos,5,No,Sidewalk Pit,1,-71.400464,41.82712363
POINT (-71.40325736093634 41.828061374897274),80,,BROWN ST,BROWN ST,Brown St,OLIVE ST,ANGELL ST,Front,1,Ulmus parvifolia,7.2,Yes,Lawn Strip,2,-71.40325736,41.82806137
POINT (-71.40111828528863 41.82543262042824),137,,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,1,Platanus x acerifolia,30.8,No,Sidewalk Pit,2,-71.40111829,41.82543262
POINT (-71.40520942599419 41.82420362628788),1,,BENEVOLENT ST,BENEFIT ST,Benefit St,CHARLESFIELD ST,BENEVOLENT ST,Side,2,Ulmus spp.,26.7,No,Lawn Strip,2,-71.40520943,41.82420363
POINT (-71.40301687834724 41.82741574915442),69,,BROWN ST,BROWN ST,Brown St,WATERMAN ST,ANGELL ST,Front,3,Quercus palustris,4,No,Sidewalk Pit,2,-71.40301688,41.82741575
POINT (-71.40786078960247 41.82582060841514),2,,COLLEGE ST,N MAIN ST,N Main St,COLLEGE ST,WATERMAN ST,Side,1,Gleditsia triacanthos,4.6,No,Sidewalk Pit,2,-71.40786079,41.82582061
POINT (-71.40367980885807 41.830268842028495),120,,BROWN ST,BROWN ST,Brown St,BOWEN ST,CUSHING ST,Front,1,Acer platanoides,21.3,Yes,Lawn Strip,2,-71.40367981,41.83026884
POINT (-71.40716743857294 41.82601748169488),236,,BENEFIT ST,COLLEGE ST,College St,BENEFIT ST,N MAIN ST,Side,2,Gleditsia triacanthos,5.9,No,Sidewalk Pit,2,-71.40716744,41.82601748
POINT (-71.40002716435966 41.82350459004971),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,6,Tilia cordata,8,No,Sidewalk Pit,1,-71.40002716,41.82350459
POINT (-71.39901205209888 41.830131994787806),171,Y,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,HOPE ST,Front,4,Acer rubrum,4.2,Yes,Sidewalk Pit,2,-71.39901205,41.83013199
POINT (-71.39918773679176 41.8301210025849),171,Y,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,HOPE ST,Front,3,Acer rubrum,5,Yes,Sidewalk Pit,2,-71.39918774,41.830121
POINT (-71.40100849784868 41.825530819671826),122,,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Platanus x acerifolia,2,No,Sidewalk Pit,2,-71.4010085,41.82553082
POINT (-71.40649020736406 41.82756636301489),30,,WATERMAN ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Rear,8,Ulmus parvifolia,7,No,Sidewalk Pit,2,-71.40649021,41.82756636
POINT (-71.39727171224632 41.824338624929574),150,,HOPE ST,HOPE ST,Hope St,POWER ST,CHARLESFIELD ST,Side,2,Tilia cordata,9,No,Sidewalk Pit,1,-71.39727171,41.82433862
POINT (-71.39902782126168 41.8258977851016),180,,E GEORGE ST,BROOK ST,Brook St,MANNING ST,E GEORGE ST,Side,2,Acer rubrum,5,Yes,Sidewalk Pit,1,-71.39902782,41.82589779
POINT (-71.39610789928899 41.82502834875194),109,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,HOPE ST,COOKE ST,Front,1,Tilia americana,27,No,Sidewalk Pit,1,-71.3961079,41.82502835
POINT (-71.39962167838783 41.82996423682772),449,,BROOK ST,BROOK ST,Brook St,MEETING ST,CUSHING ST,Front,6,Quercus bicolor,8.4,No,Sidewalk Pit,2,-71.39962168,41.82996424
POINT (-71.39920066895988 41.82617669638409),340,,BROOK ST,BROOK ST,Brook St,WATERMAN ST,BROOK ST,Side,4,Ulmus spp.,2.35,No,Sidewalk Pit,1,-71.39920067,41.8261767
POINT (-71.40488072542222 41.829647336824856),20,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,1,Gleditsia triacanthos,17.4,No,Sidewalk Pit,2,-71.40488073,41.82964734
POINT (-71.40611869484826 41.82501012371412),274,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,1,Platanus x acerifolia,18.5,No,Sidewalk Pit,2,-71.40611869,41.82501012
POINT (-71.4006856054052 41.82884804510442),257,,THAYER ST,THAYER ST,Thayer St,EUCLID AVE,MEETING ST,Front,2,Acer rubrum,2.6,No,Sidewalk Pit,2,-71.40068561,41.82884805
POINT (-71.40644330126246 41.826094895315975),42,,COLLEGE ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Front,1,Zelkova serrata,2,No,Sidewalk Pit,2,-71.4064433,41.8260949
POINT (-71.40338878917785 41.828774887764034),90,,BROWN ST,BROWN ST,Brown St,BROWN ST,PROSPECT ST,Front,2,Crataegus crus-gali var. inermis,2.3,Yes,Sidewalk Pit,2,-71.40338879,41.82877489
POINT (-71.40629572064542 41.82538888417954),263,,BENEFIT ST,BENEFIT ST,Benefit St,GEORGE ST,COLLEGE ST,Front,1,Platanus x acerifolia,21.6,No,Sidewalk Pit,2,-71.40629572,41.82538888
POINT (-71.39633628451759 41.82512049707408),106,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,COOKE ST,HOPE ST,Front,1,Fraxinus pennsylvanica,9,No,Sidewalk Pit,1,-71.39633628,41.8251205
POINT (-71.40521528094085 41.82519452514776),25,,GEORGE ST,GEORGE ST,George St,BENEFIT ST,MAGEE ST,Front,2,Gleditsia triacanthos,10.3,No,Sidewalk Pit,2,-71.40521528,41.82519453
POINT (-71.39919716704505 41.82568993676815),156,,GEORGE ST,GEORGE ST,George St,BROOK ST,THAYER ST,Front,1,Quercus rubra,13,No,Sidewalk Pit,1,-71.39919717,41.82568994
POINT (-71.40305011777157 41.829784240579244),84,,CUSHING ST,CUSHING ST,Cushing St,DEAD END,BROWN ST,Front,2,Zelkova serrata,2.2,No,Sidewalk Pit,2,-71.40305012,41.82978424
POINT (-71.40017044985748 41.83215147453688),253,,HOPE ST,HOPE ST,Hope St,LLOYD AVE,ALUMNI AVE,Front,1,Acer rubrum,2.1,Yes,Lawn Strip,2,-71.40017045,41.83215147
POINT (-71.39964313605792 41.831342747512224),240,,HOPE ST,HOPE ST,Hope St,LLOYD AVE,BOWEN ST,Front,3,Pyrus calleryana,1.5,No,Lawn Strip,2,-71.39964314,41.83134275
POINT (-71.3999879792047 41.8292784143544),450,,BROOK ST,MEETING ST,Meeting St,BROOK ST,THAYER ST,Side,3,Zelkova serrata,2.6,Yes,Lawn Strip,2,-71.39998798,41.82927841
POINT (-71.3962204492592 41.83288919228136),295,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,8,Prunus spp.,8.4,Yes,Lawn Strip,2,-71.39622045,41.83288919
POINT (-71.40360202479555 41.829834149901544),38,,CUSHING ST,BROWN ST,Brown St,CUSHING ST,CUSHING ST,Side,1,Acer platanoides,20.8,Yes,Sidewalk Pit,2,-71.40360202,41.82983415
POINT (-71.40056953685227 41.83081186591799),247,,BOWEN ST,BOWEN ST,Bowen St,THAYER ST,BROOK ST,Front,1,Fraxinus pennsylvanica,11.9,Yes,Lawn Strip,2,-71.40056954,41.83081187
POINT (-71.40354703950933 41.83029981997459),129,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,2,Ulmus americana,9.1,No,Lawn Strip,2,-71.40354704,41.83029982
POINT (-71.40310794179528 41.82718461742172),68,,BROWN ST,BROWN ST,Brown St,ANGELL ST,WATERMAN ST,Front,2,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40310794,41.82718462
POINT (-71.402843190701 41.82897812270575),171,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,5,Platanus x acerifolia,5,No,Sidewalk Pit,2,-71.40284319,41.82897812
POINT (-71.40584334246017 41.82678246913214),45,Y,WATERMAN ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Front,2,Gleditsia triacanthos,3.5,No,Sidewalk Pit,2,-71.40584334,41.82678247
POINT (-71.39558288805928 41.824326375309134),7,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,7,Quercus robur,1,No,Sidewalk Pit,1,-71.39558289,41.82432638
