the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40448283116552 41.82569746341715),1,,PROSPECT ST,PROSPECT ST,Prospect St,GEORGE ST,COLLEGE ST,Front,3,Zelkova serrata,3,No,Sidewalk Pit,2,-71.40448283,41.82569746
POINT (-71.4017298429043 41.828051381663634),154,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,7,Platanus x acerifolia,6.4,No,Sidewalk Pit,2,-71.40172984,41.82805138
POINT (-71.40786177388837 41.82800362021078),187,,BENEFIT ST,BENEFIT ST,Benefit St,ANGELL ST,MEETING ST,Front,1,Platanus x acerifolia,16.2,No,Sidewalk Pit,2,-71.40786177,41.82800362
POINT (-71.40057674958504 41.828012084148355),225,,THAYER ST,THAYER ST,Thayer St,FONES ALY,ANGELL ST,Front,2,Quercus palustris,6,No,Sidewalk Pit,1,-71.40057675,41.82801208
POINT (-71.3960462420014 41.82995756279405),30,,STIMSON AVE,DIMAN PL,Diman Pl,DEAD END,STIMSON AVE,Side,1,Acer rubrum,5.4,No,Sidewalk Pit,2,-71.39604624,41.82995756
POINT (-71.4005704155362 41.83011500683809),164,,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Front,3,Gleditsia triacanthos,6.6,No,Lawn Strip,2,-71.40057042,41.83011501
POINT (-71.40669609863893 41.828319048849316),19,,CONGDON ST,CONGDON ST,Congdon St,ANGELL ST,JENCKES ST,Front,1,Gleditsia triacanthos,18.8,Yes,Sidewalk Pit,2,-71.4066961,41.82831905
POINT (-71.39962954149982 41.82389800026098),60,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROOK ST,Front,5,Gleditsia triacanthos,10,Yes,Sidewalk Pit,1,-71.39962954,41.823898
POINT (-71.39619769577912 41.82674827739287),60,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,2,Zelkova serrata,8,No,Lawn Strip,1,-71.3961977,41.82674828
POINT (-71.3956237428057 41.82675029146859),61,,COOKE ST,MANNING ST,Manning St,COOKE ST,MANNING ST,Side,1,Acer platanoides,19,No,Lawn Strip,1,-71.39562374,41.82675029
POINT (-71.39719757028283 41.82615663248957),169,,HOPE ST,HOPE ST,Hope St,GEORGE ST,MANNING ST,Front,3,Tilia cordata,38,No,Lawn Strip,1,-71.39719757,41.82615663
POINT (-71.39520939279117 41.82990260161748),53,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,3,Acer platanoides,20.6,No,Lawn Strip,2,-71.39520939,41.8299026
POINT (-71.40053657138945 41.83238679970657),112,,KEENE ST,HOPE ST,Hope St,BARNES ST,KEENE ST,Side,3,Tilia americana,1.4,No,Sidewalk Pit,2,-71.40053657,41.8323868
POINT (-71.40051052825511 41.830812865200045),247,,BOWEN ST,BOWEN ST,Bowen St,THAYER ST,BROOK ST,Front,2,Fraxinus pennsylvanica,16.5,Yes,Lawn Strip,2,-71.40051053,41.83081287
POINT (-71.40259383528328 41.82541585683269),94,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,4,Tilia spp.,3,No,Sidewalk Pit,2,-71.40259384,41.82541586
POINT (-71.40031875031104 41.83082385728197),251,,BOWEN ST,BOWEN ST,Bowen St,THAYER ST,BROOK ST,Front,1,Fraxinus pennsylvanica,14.2,Yes,Lawn Strip,2,-71.40031875,41.83082386
POINT (-71.39886010848002 41.82472079546022),287,,BROOK ST,BROOK ST,Brook St,BENEVOLENT ST,CHARLES ST,Front,1,Tilia cordata,15,Yes,Sidewalk Pit,1,-71.39886011,41.8247208
POINT (-71.40674396486861 41.826975342092766),219,,BENEFIT ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Side,6,Gleditsia triacanthos,3.5,No,Sidewalk Pit,2,-71.40674396,41.82697534
POINT (-71.39825565336443 41.8257289004482),182,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,1,Quercus phellos,4,No,Lawn Strip,1,-71.39825565,41.8257289
POINT (-71.39804435142217 41.83208079557871),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,6,Pyrus calleryana,6.6,Yes,Lawn Strip,2,-71.39804435,41.8320808
POINT (-71.39384478914037 41.83278998660506),93,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,IRVING AVE,UNIVERSITY AVE,Front,2,Gleditsia triacanthos,10,Yes,Lawn Strip,2,-71.39384479,41.83278999
POINT (-71.3995056457881 41.83172691367517),250,,LLOYD AVE,LLOYD AVE,Lloyd Ave,WEYMOUTH ST,HOPE ST,Front,9,Quercus alba,3.8,No,Lawn Strip,2,-71.39950565,41.83172691
POINT (-71.39998891306595 41.82323807280137),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,9,Tilia cordata,11,No,Sidewalk Pit,1,-71.39998891,41.82323807
POINT (-71.40547408132521 41.83047561912791),91,,PROSPECT ST,PROSPECT ST,Prospect St,CUSHING ST,BOWEN ST,Front,1,Gleditsia triacanthos,23.5,No,Sidewalk Pit,2,-71.40547408,41.83047562
