Year,Date,Home/Away,Opponent,Result,Score,Location
1906,10/10/1906,vs,Massachusetts,W,17-0,"Providence, R.I."
1906,10/20/1906,at,Penn,L,0-14,"Philadelphia, Pa."
1906,10/27/1906,vs,Norwich,W,24-6,"Providence, R.I."
1906,11/03/1906,at,Harvard,L,5-9,"Boston, Mass."
1906,11/10/1906,at,Yale,L,0-5,"New Haven, Conn."
1906,11/17/1906,vs,Vermont,W,12-0,"Providence, R.I."
1906,11/24/1906,vs,Dartmouth,W,23-0,"Springfield, Mass. (Hampden Park)"
1907,09/21/1907,vs,New Hampshire,W,16-0,"Providence, R.I."
1907,09/28/1907,vs,Massachusetts,W,5-0,"Providence, R.I."
1907,10/05/1907,vs,Norwich,W,24-0,"Providence, R.I."
1907,10/12/1907,vs,Maine,W,40-0,"Providence, R.I."
1907,10/19/1907,at,Penn,L,0-11,"Philadelphia, Pa."
1907,10/26/1907,vs,Williams,W,24-11,"Providence, R.I."
1907,11/02/1907,at,Harvard,L,5-6,"Boston, Mass."
1907,11/09/1907,at,Yale,L,0-22,"New Haven, Conn."
1907,11/16/1907,vs,Vermont,W,36-0,"Providence, R.I."
1907,11/23/1907,vs,Amherst,W,18-0,"Providence, R.I."
1908,09/19/1908,vs,New Hampshire,W,34-0,"Providence, R.I."
1908,09/26/1908,vs,Bates,W,35-4,"Providence, R.I."
1908,10/03/1908,vs,Colgate,W,6-0,"Providence, R.I."
1908,10/10/1908,vs,Bowdoin,W,12-0,"Providence, R.I."
1908,10/17/1908,at,Penn,L,0-12,"Philadelphia, Pa."
1908,10/24/1908,vs,Lafayette,L,6-8,"Providence, R.I."
1908,10/31/1908,at,Harvard,L,2-6,"Boston, Mass."
1908,11/07/1908,at,Yale,T,10-10,"New Haven, Conn."
1908,11/14/1908,vs,Vermont,W,12-0,"Providence, R.I."
1909,09/29/1909,vs,Rhode Island State,W,6-0,"Providence, R.I."
1909,10/02/1909,vs,Colgate,W,14-0,"Providence, R.I."
1909,10/06/1909,vs,Bates,W,17-0,"Providence, R.I."
1909,10/09/1909,vs,Amherst,W,10-0,"Providence, R.I."
1909,10/16/1909,at,Penn,L,5-13,"Philadelphia, Pa."
1909,10/23/1909,at,Harvard,L,0-11,"Boston, Mass."
1909,10/30/1909,vs,Massachusetts,W,12-3,"Providence, R.I."
1909,11/06/1909,at,Yale,L,0-23,"New Haven, Conn."
1909,11/13/1909,vs,Vermont,W,17-0,"Providence, R.I."
1909,11/20/1909,vs,Carlisle,W,21-8,"New York, N.Y. (Polo Grounds)"
1910,09/24/1910,vs,Norwich,W,31-0,"Providence, R.I."
1910,10/01/1910,vs,Rhode Island State,W,5-0,"Providence, R.I."
1910,10/08/1910,vs,Colgate,T,0-0,"Providence, R.I."
1910,10/15/1910,vs,Penn,L,0-20,"Providence, R.I."
1910,10/22/1910,at,Harvard,L,0-12,"Boston, Mass."
1910,10/29/1910,vs,Tufts,W,27-9,"Providence, R.I."
1910,11/05/1910,at,Yale,W,21-0,"New Haven, Conn."
1910,11/12/1910,vs,Vermont,W,50-0,"Providence, R.I."
1910,11/19/1910,vs,Massachusetts,W,49-0,"Providence, R.I."
1910,11/24/1910,vs,Carlisle,W,15-6,"Providence, R.I."
1911,09/23/1911,vs,New Hampshire,W,56-0,"Providence, R.I."
1911,09/30/1911,vs,Rhode Island State,W,12-0,"Providence, R.I."
1911,10/07/1911,vs,Massachusetts,W,26-0,"Providence, R.I."
1911,10/14/1911,vs,Bowdoin,W,33-0,"Providence, R.I."
1911,10/21/1911,at,Penn,W,6-0,"Philadelphia, Pa."
1911,10/28/1911,at,Harvard,L,6-20,"Boston, Mass."
1911,11/04/1911,vs,Tufts,W,30-0,"Providence, R.I."
1911,11/11/1911,at,Yale,L,0-15,"New Haven, Conn."
1911,11/18/1911,vs,Vermont,W,6-0,"Providence, R.I."
1911,11/25/1911,vs,Trinity (Conn.),T,6-6,"Providence, R.I."
1911,11/30/1911,vs,Carlisle,L,6-12,"Providence, R.I."
1912,09/28/1912,vs,Colby,W,3-0,"Providence, R.I."
1912,10/05/1912,vs,Rhode Island State,W,14-0,"Providence, R.I."
1912,10/12/1912,vs,Wesleyan,L,6-7,"Providence, R.I."
1912,10/19/1912,vs,Penn,W,30-7,"Providence, R.I."
1912,10/26/1912,at,Harvard,L,10-30,"Boston, Mass."
1912,11/02/1912,vs,Vermont,W,12-7,"Providence, R.I."
1912,11/09/1912,at,Yale,L,0-10,"New Haven, Conn."
1912,11/16/1912,vs,Lafayette,W,21-7,"Providence, R.I."
1912,11/23/1912,vs,Norwich,W,21-7,"Providence, R.I."
1912,11/28/1912,vs,Carlisle,L,0-32,"Providence, R.I."
1913,09/27/1913,vs,Colby,L,0-10,"Providence, R.I."
1913,10/04/1913,vs,Rhode Island State,W,19-0,"Providence, R.I."
1913,10/11/1913,vs,Ursinus,W,6-0,"Providence, R.I."
