Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,80s,50+,US,FALSE,1981,Mary Chapin Carpenter
Jazz & R&B,80s,0,Other,FALSE,1981,Michael Urbaniak
Rock,80s,0,US,TRUE,1981,NRBQ
Rock,80s,0,US,TRUE,1981,The Plimsouls
Alternative & Folk,80s,0,NY,FALSE,1982,David Bromberg
Rock,80s,0+,Other,FALSE,1982,Graham Parker
Rap & Reggae/Ska,80s,0+,Other,TRUE,1982,Toots and the Maytals
Jazz & R&B,80s,50+,US,TRUE,1983,Gary Burton Quartet
Rock,80s,0,US,TRUE,1983,NRBQ
Jazz & R&B,80s,0+,US,FALSE,1983,Ralph Towner
Rock,80s,0,US,FALSE,1983,Robert Ellis-Orrall
Rock,80s,0,US,TRUE,1983,The Roches
Rock,80s,200+,Other,TRUE,1983,U2
Alternative & Folk,80s,0+,NY,FALSE,1984,Arlo Guthrie
Alternative & Folk,80s,0,NY,FALSE,1984,David Bromberg
Rock,80s,0,NY,FALSE,1984,David Johansen
Pop,80s,50+,Other,FALSE,1984,Howard Jones
Pop,80s,50+,Other,FALSE,1984,Paul Young
Jazz & R&B,80s,0,US,FALSE,1984,Roy Brown
Jazz & R&B,80s,0+,US,FALSE,1984,Shenandoah
Rap & Reggae/Ska,80s,0+,NY,TRUE,1985,Afrika Bambaataa
Rock,80s,200+,Other,FALSE,1985,Eric Clapton
Rock,80s,0,US,FALSE,1985,Fiona Flanagan
Rap & Reggae/Ska,80s,0,Other,FALSE,1985,Pablo Moses
Alternative & Folk,80s,200+,US,TRUE,1985,R.E.M.
Rock,80s,0,Other,TRUE,1985,Shango
Alternative & Folk,80s,0,US,FALSE,1985,The Neats
Rock,80s,0+,US,TRUE,1986,Los Lobos
Alternative & Folk,80s,0,US,FALSE,1986,Lyres
Rock,80s,0,US,TRUE,1986,Trouble Funk
Rock,80s,50+,Other,FALSE,1987,Elvis Costello
Rock,80s,0+,Other,FALSE,1987,Nick Lowe
Rock,80s,0,US,TRUE,1988,NRBQ
Rap & Reggae/Ska,80s,0+,Other,TRUE,1988,The Wailers Band
Alternative & Folk,80s,0,US,TRUE,1988,Winter Hours
Rock,80s,0+,US,TRUE,1989,Little Feat
Alternative & Folk,80s,0+,US,TRUE,1989,Tom Tom Club
Rap & Reggae/Ska,80s,0+,Other,TRUE,1989,Toots and the Maytals
Rock,80s,0,US,TRUE,1989,Treat Her Right
Rock,90s,0,NY,TRUE,1990,24-7 Spyz
Rock,90s,0,US,FALSE,1990,Max Creek
Rap & Reggae/Ska,90s,0+,Other,TRUE,1990,Ziggy Marley and the Melody Makers
Rap & Reggae/Ska,90s,0,NY,TRUE,1991,Boogie Down Production
Alternative & Folk,90s,0,US,FALSE,1991,Chucklehead
Jazz & R&B,90s,0,Canada,TRUE,1991,Salsa Menteca
Rap & Reggae/Ska,90s,0,Other,FALSE,1991,Shinehead
Rap & Reggae/Ska,90s,0+,NY,TRUE,1991,Tito Puente
Rap & Reggae/Ska,90s,50+,NY,TRUE,1992,A Tribe Called Quest
Rap & Reggae/Ska,90s,0+,NY,TRUE,1992,De La Soul
Alternative & Folk,90s,0,NY,FALSE,1992,Jonathan Gregg (1977)
Jazz & R&B,90s,50+,US,FALSE,1992,Mary Chapin Carpenter
Alternative & Folk,90s,50+,NY,TRUE,1993,"10,000 Maniacs"
Rap & Reggae/Ska,90s,0+,NY,TRUE,1993,Black Sheep
Pop,90s,0,Other,FALSE,1993,Zap Mama
Alternative & Folk,90s,0,US,FALSE,1994,Buffalo Tom
Alternative & Folk,90s,0,US,TRUE,1994,Violent Femmes
Rap & Reggae/Ska,90s,0,US,TRUE,1995,Bim Skala Bim
Rap & Reggae/Ska,90s,0+,US,TRUE,1995,Digible Planets
Alternative & Folk,90s,0+,US,TRUE,1995,Indigo Girls
Alternative & Folk,90s,0,US,FALSE,1995,Morphine
Alternative & Folk,90s,0,US,FALSE,1996,Chucklehead
Rap & Reggae/Ska,90s,50+,US,FALSE,1996,Coolio
Rap & Reggae/Ska,90s,50+,US,TRUE,1996,Fugees
Rock,90s,0,US,TRUE,1996,George Clinton and The P-Funk Allstars
Rock,90s,0+,US,FALSE,1997,Bo Diddley
Alternative & Folk,90s,200+,US,FALSE,1997,Bob Dylan
Jazz & R&B,90s,0,US,TRUE,1997,Jazz Mandolin Project
Alternative & Folk,90s,0,US,FALSE,1997,The Slip
Rap & Reggae/Ska,90s,0,NY,FALSE,1997,The Toasters
Rap & Reggae/Ska,90s,0,Other,FALSE,1998,Grandmaster Flash
Rap & Reggae/Ska,90s,0+,NY,FALSE,1998,KRS-One
Alternative & Folk,90s,0,NY,TRUE,1998,Luna
Rap & Reggae/Ska,90s,0+,NY,FALSE,1998,Rakim
Alternative & Folk,90s,0,NY,TRUE,1998,Sonic Youth
Alternative & Folk,90s,0,US,TRUE,1998,Yo La Tengo
Rap & Reggae/Ska,90s,0+,NY,TRUE,1999,Black Star
Rap & Reggae/Ska,90s,200+,NY,FALSE,1999,Busta Rhymes
Rap & Reggae/Ska,90s,200+,US,FALSE,1999,Common
Rap & Reggae/Ska,90s,0,NY,FALSE,1999,Maseo
Alternative & Folk,90s,0,US,FALSE,1999,Vic Chesnutt
Alternative & Folk,90s,0+,US,FALSE,1999,Wilco
Rock,00s,0,US,FALSE,2000,G. Love and Special Sauce
Jazz & R&B,00s,50+,NY,FALSE,2000,Kelis
Rap & Reggae/Ska,00s,0,US,FALSE,2000,MC Paul Barman
Alternative & Folk,00s,0,US,FALSE,2000,Melissa Ferrick
Alternative & Folk,00s,0,US,TRUE,2000,The Product
Alternative & Folk,00s,0,US,TRUE,2000,The Samples
Rap & Reggae/Ska,00s,200+,Other,FALSE,2000,Wyclef Jean
Alternative & Folk,00s,0+,US,FALSE,2001,Ben Harper
Rap & Reggae/Ska,00s,0,US,TRUE,2001,Jurassic 5
Alternative & Folk,00s,0+,NY,TRUE,2001,They Might Be Giants
Alternative & Folk,00s,0,US,TRUE,2001,Violent Femmes
Alternative & Folk,00s,0,NY,FALSE,2002,Dar Williams
Rap & Reggae/Ska,00s,0,NY,FALSE,2002,DJ Logic
Electronic,00s,0,US,FALSE,2002,DJ Spooky
Alternative & Folk,00s,0,US,TRUE,2002,Hot Rod Circuit
Pop,00s,0+,Canada,FALSE,2002,Rufus Wainwright
Alternative & Folk,00s,0,US,TRUE,2002,Saves the Day
Alternative & Folk,00s,0,US,TRUE,2002,The Get Up Kids
Rap & Reggae/Ska,00s,0+,US,TRUE,2002,The Roots
Rock,00s,50+,US,TRUE,2003,Joan Jett and The Blackhearts
Pop,00s,0+,US,FALSE,2003,Lisa Loeb
Alternative & Folk,00s,0,NY,TRUE,2003,Luna
Rock,00s,0+,US,FALSE,2003,Ozomatli
Rock,00s,0,US,TRUE,2003,The Donnas
Rock,00s,0+,US,TRUE,2003,The Wallflowers
Jazz & R&B,00s,0+,US,TRUE,2004,Bela Fleck and the Flecktones
Rap & Reggae/Ska,00s,0,US,FALSE,2004,Blackalicious
Rap & Reggae/Ska,00s,0,US,TRUE,2004,Jurassic 5
Rap & Reggae/Ska,00s,0,US,TRUE,2004,Reel Big Fish
Alternative & Folk,00s,0,US,FALSE,2004,Sleater-Kinney
Rock,00s,0,Other,FALSE,2004,Sui Generis
Pop,00s,0,US,FALSE,2005,Ben Folds
Rock,00s,0,US,FALSE,2005,Howie Day
Rock,00s,0+,US,FALSE,2005,Matt Nathanson
Rap & Reggae/Ska,00s,0+,NY,FALSE,2005,Talib Kweli
Alternative & Folk,00s,0,US,TRUE,2005,The Shins
Rap & Reggae/Ska,00s,200+,US,FALSE,2006,Common
Rap & Reggae/Ska,00s,0,US,FALSE,2006,Edan
Alternative & Folk,00s,0+,US,TRUE,2006,OK Go
Alternative & Folk,00s,0,US,TRUE,2006,Ted Leo and the Pharmacists
Alternative & Folk,00s,0+,US,FALSE,2006,Wilco
Rap & Reggae/Ska,00s,0,NY,TRUE,2006,Yerba Buena
Alternative & Folk,00s,0,US,TRUE,2007,Mission of Burma
Jazz & R&B,00s,0,NY,TRUE,2007,Soulive
Rock,00s,0,US,TRUE,2007,Stardeath and White Dwarfs
Rock,00s,0+,US,TRUE,2007,The Flaming Lips
Rap & Reggae/Ska,00s,0+,US,TRUE,2007,The Roots
Alternative & Folk,00s,0,US,TRUE,2007,Yo La Tengo
Electronic,00s,0,US,FALSE,2008,Girl Talk
Rap & Reggae/Ska,00s,50+,US,FALSE,2008,Lupe Fiasco
Rap & Reggae/Ska,00s,0+,Other,FALSE,2008,M.I.A.
Rock,00s,0,US,TRUE,2008,Umphrey's McGee
Alternative & Folk,00s,50+,NY,TRUE,2008,Vampire Weekend
Alternative & Folk,00s,0,US,FALSE,2009,Deer Tick
Rap & Reggae/Ska,00s,200+,NY,FALSE,2009,Nas
Alternative & Folk,00s,0,US,TRUE,2009,of Montreal
Pop,00s,0,US,FALSE,2009,Santigold
